,true,pred,corr
0,9,9,True
1,1,9,False
2,7,7,True
3,0,0,True
4,1,1,True
5,7,7,True
6,3,6,False
7,2,2,True
8,2,0,False
9,2,2,True
10,9,1,False
11,7,4,False
12,3,3,True
13,7,5,False
14,1,4,False
15,4,4,True
16,1,8,False
17,8,0,False
18,3,5,False
19,9,9,True
20,0,0,True
21,1,1,True
22,2,2,True
23,2,5,False
24,6,6,True
25,1,1,True
26,7,7,True
27,7,4,False
28,1,0,False
29,9,0,False
30,4,4,True
31,3,4,False
32,4,4,True
33,8,8,True
34,5,5,True
35,5,5,True
36,1,1,True
37,7,7,True
38,9,1,False
39,5,3,False
40,0,5,False
41,5,5,True
42,6,6,True
43,8,8,True
44,8,8,True
45,2,2,True
46,5,5,True
47,3,3,True
48,1,1,True
49,3,3,True
50,1,0,False
51,3,5,False
52,0,0,True
53,7,7,True
54,3,3,True
55,6,4,False
56,8,8,True
57,6,2,False
58,6,0,False
59,1,0,False
60,1,0,False
61,0,0,True
62,7,7,True
63,4,4,True
64,9,9,True
65,2,2,True
66,5,3,False
67,2,2,True
68,8,9,False
69,5,5,True
70,6,6,True
71,4,5,False
72,1,5,False
73,1,1,True
74,9,1,False
75,1,1,True
76,5,2,False
77,4,5,False
78,6,6,True
79,0,2,False
80,6,6,True
81,0,8,False
82,1,1,True
83,2,3,False
84,5,3,False
85,1,1,True
86,8,8,True
87,6,6,True
88,3,3,True
89,7,7,True
90,4,2,False
91,0,3,False
92,1,0,False
93,4,4,True
94,0,9,False
95,0,0,True
96,5,5,True
97,9,9,True
98,5,4,False
99,7,5,False
100,0,5,False
101,4,4,True
102,0,8,False
103,6,6,True
104,1,1,True
105,6,6,True
106,8,8,True
107,0,0,True
108,7,4,False
109,2,6,False
110,4,4,True
111,1,6,False
112,1,1,True
113,8,1,False
114,6,6,True
115,2,2,True
116,2,2,True
117,2,2,True
118,5,5,True
119,8,8,True
120,1,1,True
121,9,0,False
122,8,8,True
123,1,1,True
124,0,0,True
125,1,1,True
126,1,1,True
127,1,1,True
128,9,8,False
129,8,8,True
130,8,0,False
131,6,6,True
132,1,9,False
133,0,0,True
134,8,8,True
135,8,8,True
136,4,4,True
137,5,4,False
138,0,0,True
139,7,3,False
140,7,3,False
141,0,0,True
142,7,7,True
143,9,9,True
144,9,7,False
145,0,0,True
146,9,1,False
147,4,2,False
148,4,4,True
149,6,5,False
150,3,4,False
151,3,3,True
152,6,6,True
153,9,5,False
154,8,8,True
155,0,0,True
156,8,8,True
157,5,3,False
158,7,3,False
159,8,0,False
160,2,2,True
161,1,6,False
162,0,0,True
163,6,5,False
164,5,4,False
165,6,6,True
166,0,2,False
167,2,3,False
168,6,6,True
169,3,5,False
170,5,3,False
171,6,6,True
172,6,3,False
173,0,0,True
174,1,1,True
175,7,7,True
176,6,6,True
177,6,6,True
178,5,3,False
179,3,5,False
180,4,4,True
181,3,5,False
182,8,8,True
183,2,6,False
184,9,8,False
185,8,0,False
186,0,0,True
187,1,6,False
188,3,6,False
189,8,8,True
190,1,9,False
191,3,5,False
192,0,8,False
193,8,8,True
194,2,3,False
195,7,2,False
196,6,6,True
197,7,7,True
198,6,6,True
199,4,4,True
200,4,4,True
201,4,4,True
202,3,5,False
203,4,2,False
204,4,4,True
205,4,2,False
206,7,7,True
207,4,2,False
208,1,1,True
209,5,3,False
210,1,1,True
211,2,2,True
212,8,8,True
213,6,4,False
214,8,8,True
215,5,5,True
216,4,2,False
217,7,7,True
218,6,6,True
219,9,8,False
220,8,0,False
221,5,3,False
222,6,6,True
223,2,3,False
224,2,6,False
225,7,2,False
226,2,2,True
227,1,8,False
228,9,0,False
229,5,3,False
230,6,6,True
231,1,1,True
232,5,5,True
233,0,0,True
234,6,6,True
235,0,0,True
236,6,0,False
237,8,6,False
238,2,2,True
239,0,0,True
240,4,2,False
241,0,0,True
242,6,6,True
243,2,3,False
244,3,6,False
245,7,7,True
246,9,1,False
247,0,0,True
248,8,8,True
249,0,0,True
250,5,3,False
251,3,5,False
252,3,3,True
253,0,6,False
254,4,4,True
255,0,0,True
256,7,7,True
257,4,4,True
258,9,9,True
259,6,6,True
260,9,1,False
261,0,2,False
262,8,8,True
263,6,6,True
264,6,6,True
265,8,8,True
266,4,4,True
267,2,2,True
268,2,2,True
269,2,7,False
270,4,4,True
271,1,1,True
272,8,8,True
